ID,SMILES,Name
1,Nc1cccc(C#Cc2cccc(C(=O)O)c2)c1,EN300-27576
2,C#CC[C@@H](N)C(=O)O,EN300-100145
3,CC#CCC(N)C(=O)O,EN300-137840
4,CC#CCC(N)C(=O)O,EN300-151741
5,NCCCC#CC(=O)O,EN300-787395
6,NCCC#CC(=O)O,EN300-333460
7,C#CCC(C)(N)C(=O)O,EN300-37400163
8,C#CCC[C@@H](N)C(=O)O,EN300-1297694
9,NC(Cc1ccc(C#Cc2ccccc2)cc1)C(=O)O,EN300-37433158
10,NC1(C#CC(=O)O)CC1,EN300-7536969
11,C#CCCCC(N)C(=O)O,EN300-6480561
12,NCC#Cc1cncc(C(=O)O)c1,EN300-26983542
13,CC(C)(C)C#CC[C@H](N)C(=O)O,EN300-37337564
14,CC(C)(N)C#CC(=O)O,EN300-26621358
15,N[C@H](Cc1ccc(C#Cc2ccccc2)cc1)C(=O)O,EN300-37464907
16,C#CC1CC(N)(C(=O)O)C1,EN300-27149667
17,C#Cc1cc(N)cc(C(=O)O)c1,EN300-27695900
18,Nc1cccc(C#CC(=O)O)c1,EN300-27778661
19,C#CCCCCCC(N)C(=O)O,EN300-27746115
20,CC(N)C#CC(=O)O,EN300-1696662
21,C#CC[C@H](N)C(=O)O,EN300-66130
22,C#CCC[C@H](N)C(=O)O,EN300-6732381
23,C#CC[C@@H](N)C(=O)N[C@H](C)C(=O)O,EN300-37374442
24,C#CCCC(N)C(=O)O,EN300-1605059
25,C#CC[C@@H](N)CC(=O)O,EN300-7361094
26,C#CCC[C@@H](N)C(=O)O,EN300-43360265
27,C#C[C@@H]1C[C@]1(N)C(=O)O,EN300-46619295
28,CC#CCC[C@H](N)C(=O)O,EN300-46561812
29,CC#CCC[C@@H](N)C(=O)O,EN300-46745374
30,CC#CCCC(N)C(=O)O,EN300-46621747
31,C#CCCC[C@H](N)C(=O)O,EN300-33231243
32,C#CCO[C@H](C)[C@H](N)C(=O)O,EN300-47320272
33,C#CCCC1(CC[C@H](N)C(=O)O)N=N1,EN300-46407561
34,C#Cc1cccc(C[C@H](N)C(=O)O)c1,EN300-52288215
35,C#CCNC(=O)C(C)SCC(N)C(=O)O,EN300-54418
36,NCC#CC(=O)O,EN300-153299
37,C#CCC(N)C(=O)O,EN300-108370
38,C#Cc1cc(N)cc(OCC(=O)O)c1,EN300-46822502
39,C#Cc1ccc(C[C@H](N)C(=O)O)cc1,EN300-18980875
40,C#CC(N)CCC(=O)O,EN300-7651261
41,C#CC[C@H](N)C(=O)N[C@@H](C)C(=O)O,EN300-52770020
43,CC(C)(O)CC(N)C(=O)[O-],EN300-156619
44,Nc1ccc(C(=O)[O-])c(O)c1,EN300-1265444
45,NCC(O)CCC(=O)[O-],EN300-1718717
46,Nc1ccc(C(=O)[O-])c(O)c1,EN300-384272
47,Cc1cc(C)c2c(N)c(C(=O)O)sc2n1,EN300-11690
48,N[C@H](CCO)C(=O)O,EN300-50993
49,Nc1c(C(=O)O)cc(F)cc1[N+](=O)[O-],EN300-49968
50,Cc1ccc(N)c(C(=O)O)c1,EN300-30694
51,Nc1cccc(CC(=O)O)c1,EN300-69343
52,NC(CC(=O)O)c1cccc(Br)c1,EN300-04944
53,Cc1nsc(N)c1C(=O)O,EN300-14305
54,Cc1cc(C)c(N)c(C(=O)O)c1,EN300-62059
55,Nc1ccc(C(=O)O)cc1F,EN300-52713
56,NC1(C(=O)O)CCCC1,EN300-39470
57,NC(CC(=O)O)c1ccccc1,EN300-13591
58,Cc1cccc(N)c1C(=O)O,EN300-73400
59,Cc1cccc(C(=O)O)c1N,EN300-18897
61,Nc1nc2ccc(C(=O)O)cc2s1,EN300-00921
62,Cc1cc(Br)c(N)c(C(=O)O)c1,EN300-80722
63,COc1ccc(C(N)CC(=O)O)cc1,EN300-22836
64,Cc1nc2nc(N)nn2c(C)c1CCC(=O)O,EN300-13764
65,N#Cc1cc(C(=O)O)c(N)[nH]c1=O,EN300-14373
66,COc1ccccc1NS(=O)(=O)c1ccc(N)c(C(=O)O)c1,EN300-00623
67,NCCc1ccc(C(=O)O)cc1,EN300-14551
68,Nc1ccc(-c2ccccc2)cc1C(=O)O,EN300-40002
69,COc1ccc(C(=O)O)cc1N,EN300-49208
70,CCOc1cc(C(=O)O)c(N)cc1OC,EN300-14154
71,NC(C(=O)O)c1ccccc1F,EN300-70283
72,Nc1ccc(C(=O)O)cc1Br,EN300-31121
73,NC(CC(=O)O)c1cccc(O)c1,EN300-33443
74,Nc1ccc(N2CCOCC2)cc1C(=O)O,EN300-15326
75,NC(CC(=O)O)c1ccccc1F,EN300-31480
76,NC(C(=O)O)c1cccc(F)c1,EN300-70164
77,CC1CCC(N)(C(=O)O)CC1,EN300-39472
78,COc1cc(C(C)N)ccc1OCC(=O)O,EN300-39152
79,Nc1cccc(-n2ccc(C(=O)O)n2)c1,EN300-39912
80,Nc1c(C(=O)O)cnc2ccccc12,EN300-39148
81,NC(C(=O)O)c1cccc(Oc2ccccc2)c1,EN300-37284
82,Nc1c(Br)cccc1C(=O)O,EN300-42205
85,CC(C)(C)C1CCC(N)(C(=O)O)CC1,EN300-43142
86,Nc1cc(C(=O)O)c(F)cc1F,EN300-42065
87,CCCSCC(N)C(=O)O,EN300-42918
88,Nc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],EN300-54862
89,NC(Cc1ccccc1)(Cc1ccccc1)C(=O)O,EN300-54378
90,Nc1cc(C(=O)O)cc(Cl)n1,EN300-61637
91,Cc1c(Cl)ccc(C(=O)O)c1N,EN300-53633
92,Cc1ccc(F)c(C(=O)O)c1N,EN300-60010
93,CC(C)c1cccc(C(=O)O)c1N,EN300-53267
94,Nc1nonc1C(=O)O,EN300-55717
95,Cc1nn(C)c(C)c1C(N)C(=O)O,EN300-53777
96,Nc1c(F)cc(Br)cc1C(=O)O,EN300-75849
97,NC(C(=O)O)c1cccc(Br)c1,EN300-59829
98,Cc1ccc(C(N)C(=O)O)cc1,EN300-70125
99,NC(C(=O)O)c1ccc(Cl)c(Cl)c1,EN300-88023
100,Nc1cc(C(=O)O)ccc1N1CCSCC1,EN300-61357
101,NC(C(=O)O)c1ccc(F)cc1F,EN300-88022
102,Cc1cc(C)c(C(=O)O)c(N)c1,EN300-65902
103,Nc1c(F)ccc(Cl)c1C(=O)O,EN300-65909
104,Cc1ccccc1C(N)CC(=O)O,EN300-68315
105,Cc1cc(C(=O)O)c(N)c([N+](=O)[O-])c1,EN300-67284
106,Cn1nc(Br)c(C(=O)NCC(=O)O)c1N,EN300-68568
107,NC(CC(F)F)C(=O)O,EN300-65387
108,Nc1c(F)ccc(Br)c1C(=O)O,EN300-64339
109,Cc1cc2c[nH]nc2c(C(=O)O)c1N,EN300-62359
110,Cc1ccc(N)cc1C(=O)O,EN300-71984
111,COc1cc(CC(N)C(=O)O)cc(OC)c1,EN300-72264
112,NC(C(=O)O)c1cccc(Cl)c1,EN300-70098
113,Nc1cccc(CC(=O)O)c1,EN300-72807
114,N[C@@H](CC(=O)O)c1ccc2c(c1)OCO2,EN300-70190
115,Nc1cc(C(=O)O)ccc1Oc1ccc(Cl)cc1,EN300-66561
116,Nc1nc(C(=O)O)cs1,EN300-65928
117,CN1CCN(c2ccc(N)c(C(=O)O)c2)CC1,EN300-71651
119,Cn1nc(C(=O)O)cc1N,EN300-92610
120,NC1(C(=O)O)CCOC1,EN300-75038
121,Nc1sc2c(c1C(=O)O)CCC2,EN300-74485
122,NC1(C(=O)O)CCCCc2ccccc21,EN300-76744
123,CCC(C)n1nc(N)cc1C(=O)O,EN300-92598
124,Cc1cc(N)nn1C(C)C(=O)O,EN300-92660
125,Cc1cc(Cl)c(N)c(C(=O)O)c1,EN300-79026
126,Nc1c(Br)ccc(Br)c1C(=O)O,EN300-77747
127,Nc1c(Br)cc(Cl)cc1C(=O)O,EN300-80571
128,CC(C)(C(=O)O)c1ccc(N)cc1,EN300-82328
129,Nc1c(C(=O)O)nnn1Cc1ccccc1,EN300-82311
130,Cc1cnn(-c2cc(C(=O)O)c(N)cc2F)c1,EN300-80902
131,Nc1nc2c(cc1C(=O)O)CCCC2,EN300-92125
132,CC(C)(C)Oc1cc(C(=O)O)c(N)cc1F,EN300-90262
133,CC(N)(C(=O)O)C(F)(F)F,EN300-79079
134,NC(Cc1ccc(OC(F)F)cc1)C(=O)O,EN300-88540
135,NC(CC(=O)O)C1CC1,EN300-88396
136,NC(C(=O)O)C1CCCCC1,EN300-51752
137,Cc1c(Br)ccc(C(=O)O)c1N,EN300-93107
138,Cc1n[nH]c(SCC(=O)O)c1N,EN300-92466
139,CCOc1ccc(F)c(C(=O)O)c1N,EN300-83971
140,NC(CC(=O)O)c1ccc(F)cc1F,EN300-84663
141,CC(C)(C(=O)O)n1cc(N)cn1,EN300-92553
142,CC1(C)COCCN1c1cc(C(=O)O)c(N)cc1F,EN300-81921
143,Nc1ccc(Oc2ccc(Cl)cc2)cc1C(=O)O,EN300-88383
144,Nc1cc(C(=O)O)cc2cccnc12,EN300-90078
146,COc1cc(C(=O)O)cc(N)c1OC,EN300-96050
